Name,Status,Primary,Secondary,Comment,Site
NZ-AUK-FOA,Running OK,auckland-ib1.myl.com,aus-22syd-ib.myl.com,Auckland,
AUS-SYD-FOA,Running OK,aus-22syd-ib.myl.com,mgw-07cf-mast-ib1.myl.com,Sydney,
AUS-BNE-FOA,Running OK,aus-23bne-ib.myl.com,aus-22syd-ib.myl.com,Brisbane,
BEL-FOA,Running OK,bel-ove-infblx.myl.com,deu-b5fr4-infblx1.myl.com,,
BRZ-RDJ-FOA,Running OK,br-co-sp-ib.myl.com,deu-b5fr4-infblx1.myl.com,,
BUL-SOF-FOA,Degraded,bul-sof-ib1.myl.com,deu-b5fr4-infblx1.myl.com,"Sofia , Bulgaria",
CA-ETO-FOA,Running OK,ca-2feto-ib.myl.com,mgw-07cf-mast-ib1.myl.com,,
EMEADC,Running OK,deu-b5fr4-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com,,
BG-FRA-FOA,Running OK,deu-bebhg-ib.myl.com,deu-b5fr4-infblx1.myl.com,,
TRO-FR4-FOA,Running OK,deu-bgtro-ib.myl.com,deu-b5fr4-infblx1.myl.com,,
SA-FOA,Running OK,emea-za-b2-ib1.myl.com,deu-b5fr4-infblx1.myl.com,South Africa,
ESP-BAR-FOA,Running OK,esp-bar-infblx.myl.com,deu-b5fr4-infblx1.myl.com,,
FRA-STP-FOA,Running OK,fra-2qstp-ib.myl.com,deu-b5fr4-infblx1.myl.com,,
FRA-CHA-FOA,Running OK,fra-7gcha-ib.myl.com,deu-b5fr4-infblx1.myl.com,France chattillion,
MER-FR4,Running OK,fra-cimer-ib.myl.com,deu-b5fr4-infblx1.myl.com,Merignac FOA,
GER-FOA,Failure,ger-dar-infblx.myl.com,deu-b5fr4-infblx1.myl.com,,
HOU-FOA,Failure,hou-wh-infblx.myl.com,mgw-07cf-mast-ib1.myl.com,,
HRV-FOA,Running OK,hrv-zag-ib1.myl.com,deu-b5fr4-infblx1.myl.com,"Croatia, Zagreb FOA",
