header-network,address*,netmask*,always_update_dns,basic_polling_settings,boot_file,boot_server,broadcast_address,comment,ddns_domainname,ddns_ttl,deny_bootp,dhcp_members,disabled,discovery_exclusion_range,discovery_member,domain_name,domain_name_servers,enable_ddns,enable_discovery,enable_option81,enable_pxe_lease_time,enable_threshold_email_warnings,enable_threshold_snmp_warnings,enable_thresholds,generate_hostname,ignore_client_requested_options,is_authoritative,lease_scavenge_time,lease_time,mgm_private,network_view,next_server,option_logic_filters,pxe_lease_time,range_high_water_mark,range_high_water_mark_reset,range_low_water_mark,range_low_water_mark_reset,recycle_leases,routers,threshold_email_addresses,update_dns_on_lease_renewal,update_static_leases,vlans,zone_associations,EA-Country,EA-Migration_status,EA-Site,EA-Site Code,OPTION-1,OPTION-11,OPTION-150,OPTION-161,OPTION-176,OPTION-242,OPTION-43,OPTION-44,OPTION-46,OPTION-49,OPTION-60,OPTION-66,OPTION-67,OPTION-68,OPTION-Cisco_Aironet_1130-241,OPTION-Cisco_Aironet_3500_Series-102,OPTION-Cisco_Aironet_3600_Series-103
network,172.20.24.0,255.255.254.0,,,,,,GDC-VMProd24,,,,"gdc-0b-mast-ib1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,,,,,,False,False,,,,,,28800,False,default,,,,95,85,0,10,,172.20.24.1,,,True,,,,,Ashburn,0B,,,,,,,,,,,,,,,,,
network,172.16.48.0,255.255.255.0,,,,,,VLAN 48 - WARSW2,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,,,,,,False,False,,,,,,691200,False,default,,,,95,85,0,10,,172.16.48.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.49.0,255.255.255.0,,,,,,VLAN 49 - WARSW1,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11,172.20.31.102",,,,,False,False,,,,,,691200,False,default,,,,95,85,0,10,,172.16.49.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.50.0,255.255.255.0,,,,,,VLAN 50 - CONFSW1,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11,172.20.31.102",,,,,False,False,,,,,,691200,False,default,,,,95,85,0,10,,172.16.50.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.51.0,255.255.255.0,,,,,,VLAN 51 - POTENTSW1,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11,172.20.31.102",,,,,False,False,,,,,,691200,False,default,,,,95,85,0,10,,172.16.51.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.240.0,255.255.252.0,,,,,,VLAN 2 - OLD PR LAN,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11,172.20.31.102",,,,,False,False,,,,,,691200,False,default,,,,95,85,0,10,,172.16.240.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.52.0,255.255.255.0,,,,,,VLAN 52 - LABSW1,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11",,,,,False,False,,,,,,28800,False,default,,,,95,85,0,10,,172.16.52.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.53.0,255.255.255.0,,,,,,VLAN 53 - ADMINSW1,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11,172.20.31.102",,,,,False,False,,,,,,691200,False,default,,,,95,85,0,10,,172.16.53.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.54.0,255.255.255.0,,,,,,VLAN 54 - MFGSW1,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11,172.20.31.102",,,,,False,False,,,,,,28800,False,default,,,,95,85,0,10,,172.16.54.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
network,172.16.55.0,255.255.255.0,,,,,,VLAN 55 - MEZZANINESW1,,,,"pur-infblx1.myl.com,mgw-07cf-mast-ib1.myl.com",False,,,,"172.16.57.19,172.20.31.11,172.20.31.102",,,,,False,False,,,,,,43200,False,default,,,,95,85,0,10,,172.16.55.1,,,,,<empty>,,,,,,,,,,,,,,,,,,,,,
